ENSMUSG00000001924.15 Uba1
ENSMUSG00000001930.17 Vwf
ENSMUSG00000001942.8 Siae
ENSMUSG00000001943.8 Vsig2
ENSMUSG00000001946.14 Esam
ENSMUSG00000001948.10 Spa17
ENSMUSG00000001962.8 Fam50a
ENSMUSG00000001964.14 Emd
ENSMUSG00000001983.7 Taco1
ENSMUSG00000001985.9 Grik3
ENSMUSG00000001986.16 Gria3
ENSMUSG00000001988.9 Npas1
ENSMUSG00000001995.9 Sipa1l2
ENSMUSG00000001998.15 Ap4e1
ENSMUSG00000001999.15 Blvra
ENSMUSG00000002006.12 Pdzd4
ENSMUSG00000002007.5 Srpk3
ENSMUSG00000002010.17 Idh3g
ENSMUSG00000002012.13 Pnck
ENSMUSG00000002014.12 Ssr4
ENSMUSG00000002015.5 Bcap31
ENSMUSG00000002017.9 Fam98a
ENSMUSG00000002020.15 Ltbp2
ENSMUSG00000002028.13 Kmt2a
ENSMUSG00000002031.12 Ift46
ENSMUSG00000002032.17 Tmem25
ENSMUSG00000002033.14 Cd3g
ENSMUSG00000002043.17 Trappc6a
ENSMUSG00000002052.6 Supt6
ENSMUSG00000002055.9 Spag5
ENSMUSG00000002057.4 Foxn1
ENSMUSG00000002058.13 Unc119
ENSMUSG00000002059.18 Rab34
ENSMUSG00000002064.10 Sdf2
ENSMUSG00000002068.16 Ccne1
ENSMUSG00000002076.11 Hsf2bp
ENSMUSG00000002083.13 Bbc3
ENSMUSG00000002100.15 Mybpc3
ENSMUSG00000002102.15 Psmc3
ENSMUSG00000002103.15 Acp2
ENSMUSG00000002104.11 Rapsn
ENSMUSG00000002105.15 Slc39a13
ENSMUSG00000002107.18 Celf2
ENSMUSG00000002108.10 Nr1h3
ENSMUSG00000002109.14 Ddb2
ENSMUSG00000002111.8 Spi1
ENSMUSG00000002129.11 Sf3a1
ENSMUSG00000002147.18 Stat6
ENSMUSG00000002190.13 Clgn
ENSMUSG00000002204.9 Napsa
ENSMUSG00000002205.16 Vrk3
ENSMUSG00000002210.11 Smg9
ENSMUSG00000002221.11 Paxip1
ENSMUSG00000002222.14 Rmnd5a
ENSMUSG00000002227.15 Mov10
ENSMUSG00000002228.7 Ppm1j
ENSMUSG00000002233.13 Rhoc
ENSMUSG00000002240.12 Prr27
ENSMUSG00000002249.19 Tead3
ENSMUSG00000002250.15 Ppard
ENSMUSG00000002257.7 Def6
ENSMUSG00000002265.16 Peg3
ENSMUSG00000002266.17 Zim1
ENSMUSG00000002274.12 Metrn
ENSMUSG00000002279.18 Lmf1
ENSMUSG00000002280.10 Narfl
ENSMUSG00000002289.15 Angptl4
ENSMUSG00000002297.15 Dbf4
ENSMUSG00000002307.15 Daxx
ENSMUSG00000002308.15 Cd320
ENSMUSG00000002319.15 Ipo4
ENSMUSG00000002320.15 Tm9sf1
ENSMUSG00000002324.7 Rec8
ENSMUSG00000002325.14 Irf9
ENSMUSG00000002326.5 Gmpr2
ENSMUSG00000002329.6 Mdp1
ENSMUSG00000002332.15 Dhrs1
ENSMUSG00000002341.8 Ncan
ENSMUSG00000002342.17 Tmem161a
ENSMUSG00000002343.11 Armc6
ENSMUSG00000002345.17 Borcs8
ENSMUSG00000002346.16 Slc25a42
ENSMUSG00000002365.9 Snx9
ENSMUSG00000002372.8 Ranbp3
ENSMUSG00000002379.6 Ndufa11
ENSMUSG00000002384.2 Bmp8b
ENSMUSG00000002393.14 Nr2f6
ENSMUSG00000002395.14 Use1
ENSMUSG00000002396.8 Ocel1
ENSMUSG00000002409.18 Dyrk1b
ENSMUSG00000002413.15 Braf
ENSMUSG00000002416.13 Ndufb2
ENSMUSG00000002428.12 Hltf
ENSMUSG00000002455.14 Prpf6
